"nsub" "nbloque" "trial" "distancia" "respuesta" "condicion_sala"
3 1 6 9 2.5 "OSCURAS"
3 1 2 2.7 1.5 "OSCURAS"
3 1 6 9 2 "OSCURAS"
3 1 2 2.7 1.5 "OSCURAS"
3 1 1 2 1 "OSCURAS"
3 1 3 3.65 1.5 "OSCURAS"
3 1 4 4.9 1.2 "OSCURAS"
3 2 6 9 3 "VISUAL"
3 2 1 2 1.5 "VISUAL"
3 2 1 2 2 "VISUAL"
3 2 2 2.7 2.5 "VISUAL"
3 2 4 4.9 3 "VISUAL"
3 2 2 2.7 3 "VISUAL"
3 2 5 6.65 5 "VISUAL"
3 2 4 4.9 3 "VISUAL"
3 2 6 9 4 "VISUAL"
3 2 6 9 4 "VISUAL"
3 2 3 3.65 3 "VISUAL"
3 2 3 3.65 2.5 "VISUAL"
3 2 1 2 1.5 "VISUAL"
3 2 2 2.7 2 "VISUAL"
3 2 5 6.65 4 "VISUAL"
3 2 4 4.9 3 "VISUAL"
3 2 3 3.65 2 "VISUAL"
3 2 5 6.65 4 "VISUAL"
4 1 2 2.7 1 "OSCURAS"
4 1 2 2.7 2 "OSCURAS"
4 1 4 4.9 2.5 "OSCURAS"
4 1 6 9 3 "OSCURAS"
4 1 5 6.65 4 "OSCURAS"
4 1 4 4.9 4 "OSCURAS"
4 1 4 4.9 2 "OSCURAS"
4 1 6 9 2.5 "OSCURAS"
4 1 6 9 4 "OSCURAS"
4 1 5 6.65 4.5 "OSCURAS"
4 1 1 2 1 "OSCURAS"
4 1 2 2.7 1.5 "OSCURAS"
4 1 3 3.65 2 "OSCURAS"
4 1 1 2 1 "OSCURAS"
4 1 3 3.65 2 "OSCURAS"
4 1 1 2 1 "OSCURAS"
4 1 5 6.65 2.5 "OSCURAS"
4 1 3 3.65 2 "OSCURAS"
4 2 1 2 1 "VISUAL"
4 2 4 4.9 2 "VISUAL"
4 2 6 9 3 "VISUAL"
4 2 5 6.65 4 "VISUAL"
4 2 2 2.7 1 "VISUAL"
4 2 4 4.9 2 "VISUAL"
4 2 5 6.65 2.5 "VISUAL"
4 2 1 2 1 "VISUAL"
4 2 3 3.65 1.5 "VISUAL"
4 2 2 2.7 1 "VISUAL"
4 2 6 9 3 "VISUAL"
4 2 5 6.65 4 "VISUAL"
4 2 3 3.65 2.5 "VISUAL"
4 2 3 3.65 1.5 "VISUAL"
4 2 4 4.9 2.5 "VISUAL"
4 2 2 2.7 1 "VISUAL"
4 2 1 2 1 "VISUAL"
4 2 6 9 3 "VISUAL"
5 1 3 3.65 2 "OSCURAS"
