"nsub" "nbloque" "trial" "distancia" "respuesta" "condicion_sala" "SesgoAbs" "SesgoRel"
30 1 6 9 3 "SALA_GRANDE" -6 -0.666666666666667
30 1 2 2.7 0.8 "SALA_GRANDE" -1.9 -0.703703703703704
30 1 3 3.65 1 "SALA_GRANDE" -2.65 -0.726027397260274
30 1 3 3.65 3 "SALA_GRANDE" -0.65 -0.178082191780822
30 1 6 9 4 "SALA_GRANDE" -5 -0.555555555555556
30 1 4 4.9 4 "SALA_GRANDE" -0.9 -0.183673469387755
30 1 3 3.65 2 "SALA_GRANDE" -1.65 -0.452054794520548
30 1 4 4.9 2 "SALA_GRANDE" -2.9 -0.591836734693878
30 1 5 6.65 3 "SALA_GRANDE" -3.65 -0.548872180451128
30 1 2 2.7 1 "SALA_GRANDE" -1.7 -0.62962962962963
30 1 1 2 0.5 "SALA_GRANDE" -1.5 -0.75
30 1 4 4.9 2 "SALA_GRANDE" -2.9 -0.591836734693878
30 1 1 2 0.5 "SALA_GRANDE" -1.5 -0.75
13 1 6 9 4 "SALA_CHICA" -5 -0.555555555555556
13 1 6 9 4 "SALA_CHICA" -5 -0.555555555555556
13 1 3 3.65 1 "SALA_CHICA" -2.65 -0.726027397260274
13 1 4 4.9 1 "SALA_CHICA" -3.9 -0.795918367346939
13 1 5 6.65 2 "SALA_CHICA" -4.65 -0.699248120300752
13 1 2 2.7 1 "SALA_CHICA" -1.7 -0.62962962962963
13 1 6 9 2 "SALA_CHICA" -7 -0.777777777777778
13 1 1 2 1 "SALA_CHICA" -1 -0.5
13 1 4 4.9 1 "SALA_CHICA" -3.9 -0.795918367346939
13 1 2 2.7 1 "SALA_CHICA" -1.7 -0.62962962962963
13 1 1 2 1 "SALA_CHICA" -1 -0.5
13 1 1 2 1 "SALA_CHICA" -1 -0.5
13 1 3 3.65 1 "SALA_CHICA" -2.65 -0.726027397260274
13 1 5 6.65 4 "SALA_CHICA" -2.65 -0.398496240601504
13 1 2 2.7 1 "SALA_CHICA" -1.7 -0.62962962962963
13 1 3 3.65 1 "SALA_CHICA" -2.65 -0.726027397260274
13 1 4 4.9 2 "SALA_CHICA" -2.9 -0.591836734693878
13 1 5 6.65 4 "SALA_CHICA" -2.65 -0.398496240601504
31 1 6 9 2 "SALA_CHICA" -7 -0.777777777777778
31 1 1 2 0.3 "SALA_CHICA" -1.7 -0.85
31 1 3 3.65 0.2 "SALA_CHICA" -3.45 -0.945205479452055
31 1 2 2.7 0.2 "SALA_CHICA" -2.5 -0.925925925925926
31 1 1 2 0.1 "SALA_CHICA" -1.9 -0.95
31 1 5 6.65 0.5 "SALA_CHICA" -6.15 -0.924812030075188
31 1 3 3.65 0.3 "SALA_CHICA" -3.35 -0.917808219178082
31 1 4 4.9 0.5 "SALA_CHICA" -4.4 -0.897959183673469
31 1 3 3.65 0.3 "SALA_CHICA" -3.35 -0.917808219178082
31 1 4 4.9 0.3 "SALA_CHICA" -4.6 -0.938775510204082
31 1 2 2.7 0.1 "SALA_CHICA" -2.6 -0.962962962962963
31 1 6 9 0.3 "SALA_CHICA" -8.7 -0.966666666666667
31 1 1 2 0.1 "SALA_CHICA" -1.9 -0.95
31 1 6 9 0.5 "SALA_CHICA" -8.5 -0.944444444444444
31 1 4 4.9 0.3 "SALA_CHICA" -4.6 -0.938775510204082
31 1 2 2.7 0.1 "SALA_CHICA" -2.6 -0.962962962962963
31 1 5 6.65 0.5 "SALA_CHICA" -6.15 -0.924812030075188
31 1 5 6.65 0.4 "SALA_CHICA" -6.25 -0.93984962406015
32 1 1 2 0.5 "SALA_GRANDE" -1.5 -0.75
32 1 3 3.65 1 "SALA_GRANDE" -2.65 -0.726027397260274
32 1 2 2.7 1 "SALA_GRANDE" -1.7 -0.62962962962963
32 1 2 2.7 1 "SALA_GRANDE" -1.7 -0.62962962962963
32 1 6 9 4 "SALA_GRANDE" -5 -0.555555555555556
32 1 1 2 0.3 "SALA_GRANDE" -1.7 -0.85
32 1 2 2.7 1 "SALA_GRANDE" -1.7 -0.62962962962963
