"nsub" "nbloque" "trial" "distancia" "respuesta" "condicion_sala" "SesgoAbs" "SesgoRel"
9 1 1 2 2 "OSCURAS" 0 0
9 1 6 9 7 "OSCURAS" -2 -0.222222222222222
9 1 3 3.65 3 "OSCURAS" -0.65 -0.178082191780822
9 1 3 3.65 3 "OSCURAS" -0.65 -0.178082191780822
9 1 5 6.65 5 "OSCURAS" -1.65 -0.24812030075188
9 1 5 6.65 5 "OSCURAS" -1.65 -0.24812030075188
9 2 3 3.65 4 "VR" 0.35 0.0958904109589041
9 2 1 2 1 "VR" -1 -0.5
9 2 1 2 1 "VR" -1 -0.5
9 2 3 3.65 3 "VR" -0.65 -0.178082191780822
9 2 2 2.7 2 "VR" -0.7 -0.259259259259259
9 2 5 6.65 6 "VR" -0.65 -0.0977443609022557
9 2 6 9 6 "VR" -3 -0.333333333333333
9 2 4 4.9 4 "VR" -0.9 -0.183673469387755
9 2 5 6.65 5 "VR" -1.65 -0.24812030075188
9 2 3 3.65 3 "VR" -0.65 -0.178082191780822
9 2 6 9 6 "VR" -3 -0.333333333333333
9 2 2 2.7 1 "VR" -1.7 -0.62962962962963
9 2 2 2.7 2 "VR" -0.7 -0.259259259259259
9 2 4 4.9 3 "VR" -1.9 -0.387755102040816
9 2 5 6.65 5 "VR" -1.65 -0.24812030075188
9 2 4 4.9 2 "VR" -2.9 -0.591836734693878
9 2 6 9 6 "VR" -3 -0.333333333333333
9 2 1 2 1 "VR" -1 -0.5
